,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
Almanza Dos,"14.4023, 121.0059","37,432","11,680","24,678","1,237",31.07,65.64,3.29
Almanza Uno,"14.4330, 121.0132","36,232","8,474","20,836","1,095",27.87,68.53,3.6
B. F. International Village,"14.4568, 120.9981","81,739","24,085","50,514","2,665",31.17,65.38,3.45
Daniel Fajardo,"14.4809, 120.9816","10,629","3,222","6,842",361,30.91,65.63,3.46
Elias Aldana,"14.4773, 120.9795","10,275","2,994","6,911",497,28.78,66.44,4.78
Ilaya,"14.4780, 120.9807","7,103","1,765","4,013",277,29.15,66.28,4.57
Manuyo Dos,"14.4711, 120.9917","44,351","11,489","24,329","1,189",31.05,65.74,3.21
Manuyo Uno,"14.4830, 120.9845","14,794","4,807","10,068",530,31.2,65.36,3.44
Pamplona Dos,"14.4496, 120.9751","9,141","2,088","7,797",880,19.4,72.43,8.17
Pamplona Tres,"14.4556, 120.9837","35,098","7,768","25,450","2,394",21.81,71.46,6.72
Pamplona Uno,"14.4584, 120.9704","19,085","5,246","12,448",883,28.24,67.01,4.75
Pilar,"14.4208, 121.0086","29,780","7,695","21,817","1,947",24.46,69.35,6.19
Pulang Lupa Dos,"14.4603, 120.9810","32,485","8,295","23,153","1,723",25.01,69.8,5.19
Pulang Lupa Uno,"14.4711, 120.9775","38,405","9,449","20,783","1,169",30.09,66.19,3.72
Talon Dos,"14.4405, 120.9913","43,978","11,054","38,876","3,161",20.82,73.23,5.95
Talon Kuatro,"14.4336, 120.9976","20,763","5,906","14,705",809,27.57,68.65,3.78
Talon Singko,"14.4233, 120.9959","38,684","11,807","31,238","2,329",26.02,68.85,5.13
Talon Tres,"14.4423, 121.0013","32,963","7,413","19,405","1,056",26.59,69.62,3.79
Talon Uno,"14.4384, 121.0028","42,505","11,285","22,691",845,32.41,65.16,2.43
Zapote,"14.4652, 120.9682","20,851","6,183","13,886",702,29.77,66.85,3.38
