,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
Bagong Ilog,"14.5644, 121.0711","20,344","4,079","11,854",864,24.28,70.57,5.14
Bagong Katipunan,"14.5584, 121.0749",879,311,846,74,25.26,68.72,6.01
Bambang,"14.5548, 121.0785","20,801","5,977","13,818",862,28.93,66.89,4.17
Buting,"14.5533, 121.0688","10,348","3,000","7,546",547,27.04,68.02,4.93
Caniogan,"14.5719, 121.0804","28,086","7,127","19,046","1,401",25.85,69.07,5.08
Dela Paz,"14.6137, 121.0960","19,804","4,736","14,154","1,266",23.5,70.22,6.28
Kalawaan,"14.5512, 121.0869","32,145","9,589","19,351",952,32.08,64.74,3.18
Kapasigan,"14.5645, 121.0743","4,774","1,429","3,779",315,25.87,68.42,5.7
Kapitolyo,"14.5718, 121.0596","9,203","2,845","9,395",734,21.93,72.41,5.66
Malinao,"14.5580, 121.0760","4,817","1,789","3,961",224,29.95,66.3,3.75
Manggahan,"14.5981, 121.0913","88,078","25,141","65,113","3,722",26.75,69.29,3.96
Maybunga,"14.5784, 121.0817","45,555","9,786","25,980","1,385",26.34,69.93,3.73
Oranbo,"14.5737, 121.0642","3,267",810,"3,295",215,18.75,76.27,4.98
Palatiw,"14.5631, 121.0848","27,499","5,539","12,069",748,30.18,65.75,4.07
Pinagbuhatan,"14.5570, 121.0910","163,598","50,468","97,963","3,548",33.21,64.46,2.33
Pineda,"14.5658, 121.0597","19,499","5,084","12,362",721,27.98,68.05,3.97
Rosario,"14.5863, 121.0844","73,979","16,089","43,458","2,373",25.98,70.18,3.83
Sagad,"14.5660, 121.0793","6,036","1,989","4,760",315,28.16,67.38,4.46
San Antonio,"14.5775, 121.0599","11,727","5,131","15,419",674,24.18,72.65,3.18
San Joaquin,"14.5510, 121.0762","13,823","3,919","8,761",527,29.67,66.34,3.99
San Jose,"14.5612, 121.0735","1,814",331,974,102,23.53,69.23,7.25
San Miguel,"14.5656, 121.0856","40,199","8,849","20,988","1,123",28.58,67.79,3.63
San Nicolas,"14.5631, 121.0781","2,602",549,"1,456",108,25.98,68.91,5.11
Santa Cruz,"14.5632, 121.0788","5,610","1,606","3,743",213,28.87,67.3,3.83
Santa Lucia,"14.5842, 121.1017","43,749","11,387","31,221","1,930",25.57,70.1,4.33
Santa Rosa,"14.5593, 121.0729","1,015",317,657,51,30.93,64.1,4.98
Santo Tomas,"14.5643, 121.0804","12,904","2,916","6,100",322,31.23,65.32,3.45
Santolan,"14.6152, 121.0818","57,933","14,956","36,315","1,983",28.08,68.19,3.72
Sumilang,"14.5571, 121.0747","4,334","1,317","3,648",393,24.58,68.09,7.33
Ugong,"14.5792, 121.0785","28,737","4,353","16,746","1,411",19.34,74.39,6.27
