,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
Dona Imelda,"14.6151, 121.0177","11,724","4,218","12,140",557,24.94,71.77,3.29
Dona Josefa,"14.6189, 121.0049","1,857",422,"2,232",255,14.51,76.73,8.77
Duyan-duyan,"14.6298, 121.0667","3,357",901,"2,768",201,23.28,71.52,5.19
E. Rodriguez,"14.6273, 121.0520","17,363","4,675","14,178",741,23.86,72.36,3.78
East Kamias,"14.6314, 121.0568","6,395","1,421","4,410",375,22.9,71.06,6.04
Escopa I,"14.6245, 121.0735","2,110",557,"1,559",105,25.08,70.19,4.73
Escopa II,"14.6243, 121.0745","1,683",465,"1,206",95,26.33,68.29,5.38
Escopa III,"14.6266, 121.0735","7,985","2,514","5,733",307,29.39,67.02,3.59
Escopa IV,"14.6257, 121.0744","1,837",513,"1,302",104,26.73,67.85,5.42
Fairview,"14.6996, 121.0641","61,813","14,262","36,741","2,148",26.83,69.13,4.04
Greater Lagro,"14.7264, 121.0659","23,569","4,318","15,918","2,528",18.97,69.93,11.11
Gulod,"14.7120, 121.0387","62,542","15,512","36,022","1,791",29.09,67.55,3.36
Holy Spirit,"14.6837, 121.0766","111,901","30,553","75,908","3,986",27.66,68.73,3.61
Horseshoe,"14.6112, 121.0415","2,866",650,"2,144",210,21.64,71.37,6.99
Immaculate Concepcion,"14.6222, 121.0435","8,169","1,944","6,263",463,22.42,72.24,5.34
Kaligayahan,"14.7388, 121.0507","60,462","14,210","38,144","2,222",26.04,69.89,4.07
Kalusugan,"14.6231, 121.0219","4,786",436,"1,230",79,24.99,70.49,4.53
Kamuning,"14.6282, 121.0388","14,258","2,956","11,938",767,18.87,76.23,4.9
Katipunan,"14.6557, 121.0178","10,508",684,"2,031",103,24.27,72.07,3.66
Kaunlaran,"14.6181, 121.0449","12,387","1,739","5,834",594,21.29,71.43,7.27
Kristong Hari,"14.6250, 121.0309","6,055",916,"2,963",210,22.4,72.46,5.14
Krus na Ligas,"14.6444, 121.0634","21,287","5,672","15,038",803,26.37,69.9,3.73
Laging Handa,"14.6322, 121.0325","4,812","1,128","5,138",484,16.71,76.12,7.17
Libis,"14.6151, 121.0749","4,208","1,050","2,803",165,26.13,69.76,4.11
Lourdes,"14.6248, 121.0021","4,523",935,"3,492",386,19.43,72.55,8.02
Loyola Heights,"14.6412, 121.0745","21,140","3,583","14,140","1,161",18.97,74.88,6.15
Maharlika,"14.6340, 120.9963","4,349",789,"3,310",326,17.83,74.8,7.37
Malaya,"14.6360, 121.0555","2,605",956,"2,955",198,23.27,71.92,4.82
Mangga,"14.6238, 121.0620",913,272,849,37,23.49,73.32,3.2
Manresa,"14.6410, 121.0006","17,224","5,881","14,817",715,27.46,69.2,3.34
Mariana,"14.6171, 121.0368","11,967","1,509","8,774",944,13.44,78.15,8.41
Mariblo,"14.6350, 121.0158","3,433",986,"2,928",164,24.18,71.8,4.02
Marilag,"14.6256, 121.0686","12,555","2,049","7,098",665,20.88,72.34,6.78
Masagana,"14.6186, 121.0665","4,166",789,"3,315",317,17.85,74.98,7.17
Masambong,"14.6415, 121.0102","8,800","3,101","9,081",659,24.15,70.72,5.13
Matandang Balara,"14.6643, 121.0720","69,475","19,180","49,534","2,308",27.01,69.74,3.25
Milagrosa,"14.6212, 121.0710","6,775","1,111","4,625",394,18.12,75.45,6.43
N. S. Amoranto,"14.6317, 120.9939","5,952","1,582","4,872",405,23.06,71.03,5.9
Nagkaisang Nayon,"14.7200, 121.0284","53,781","13,252","34,089","1,707",27.02,69.5,3.48
Nayong Kanluran,"14.6400, 121.0255","2,456",646,"1,700",82,26.61,70.02,3.38
New Era,"14.6647, 121.0597","14,105","3,737","9,327",301,27.96,69.79,2.25
North Fairview,"14.7089, 121.0640","44,408","11,735","27,891","1,528",28.51,67.77,3.71
Novaliches Proper,"14.7206, 121.0389","15,468","4,336","10,556",489,28.19,68.63,3.18
Obrero,"14.6281, 121.0294","9,500","2,202","5,753",314,26.63,69.57,3.8
Old Capitol Site,"14.6502, 121.0529","1,319",281,840,71,23.57,70.47,5.96
Paang Bundok,"14.6279, 120.9927","4,806","1,378","3,864",401,24.42,68.47,7.11
Pag-ibig sa Nayon,"14.6464, 120.9964","5,918","1,394","3,765",282,25.62,69.2,5.18
Paligsahan,"14.6317, 121.0214","3,518","1,041","4,294",276,18.55,76.53,4.92
Paltok,"14.6432, 121.0225","18,124","4,313","12,128",901,24.87,69.93,5.2
Pansol,"14.6506, 121.0769","35,254","10,182","23,035","1,023",29.74,67.28,2.99
Paraiso,"14.6379, 121.0178","3,537",835,"2,704",251,22.03,71.35,6.62
Pasong Putik Proper,"14.7366, 121.0612","39,896","10,164","23,755","1,216",28.93,67.61,3.46
Pasong Tamo,"14.6748, 121.0489","110,738","28,549","71,124","3,427",27.69,68.99,3.32
Payatas,"14.7162, 121.1015","139,740","42,042","85,222","3,069",32.26,65.39,2.35
Phil-Am,"14.6484, 121.0310","2,524",381,"2,008",284,14.25,75.12,10.62
Pinagkaisahan,"14.6280, 121.0461","4,366","1,599","4,963",367,23.08,71.63,5.3
Pinyahan,"14.6353, 121.0475","21,868","6,672","20,142",839,24.13,72.84,3.03
Project 6,"14.6620, 121.0412","11,899","3,579","10,877",799,23.46,71.3,5.24
Quirino 2-A,"14.6312, 121.0592","4,622","1,237","3,900",383,22.41,70.65,6.94
Quirino 2-B,"14.6326, 121.0616","3,938",519,"2,743",350,14.37,75.94,9.69
Quirino 2-C,"14.6344, 121.0631","3,189",559,"2,040",231,19.75,72.08,8.16
Quirino 3-A,"14.6286, 121.0637","1,070",218,882,41,19.11,77.3,3.59
Ramon Magsaysay,"14.6592, 121.0215","14,321","4,102","11,513",666,25.2,70.71,4.09
Roxas,"14.6283, 121.0216","10,670","3,848","11,430",782,23.96,71.17,4.87
Sacred Heart,"14.6302, 121.0387","6,089","1,789","6,031",462,21.6,72.82,5.58
Saint Ignatius,"14.6126, 121.0730","2,054",260,"1,478",267,12.97,73.72,13.32
Saint Peter,"14.6350, 120.9993","4,049",845,"3,363",342,18.57,73.91,7.52
Salvacion,"14.6268, 120.9942","6,681","1,989","5,657",410,24.69,70.22,5.09
San Agustin,"14.7282, 121.0377","25,355","5,933","15,435","1,055",26.46,68.84,4.7
San Antonio,"14.6522, 121.0182","22,229","6,411","17,550","1,082",25.6,70.08,4.32
San Bartolome,"14.7007, 121.0349","51,148","11,660","31,494","2,034",25.8,69.7,4.5
San Isidro,"14.6127, 121.0090","6,550","2,001","6,202",375,23.33,72.3,4.37
San Isidro Labrador,"14.6234, 120.9968","6,247","1,747","4,957",477,24.33,69.03,6.64
San Jose,"14.6407, 120.9942","5,844","1,516","4,457",298,24.17,71.07,4.75
San Martin de Porres,"14.6172, 121.0492","11,632","2,817","8,979",519,22.87,72.91,4.21
San Roque,"14.6207, 121.0613","19,093","4,953","14,287",855,24.65,71.1,4.25
San Vicente,"14.6534, 121.0569","7,160","1,960","4,978",336,26.95,68.44,4.62
Sangandaan,"14.6740, 121.0205","21,061","5,607","17,020","1,434",23.3,70.74,5.96
Santa Cruz,"14.6344, 121.0201","3,945","1,239","3,336",209,25.9,69.73,4.37
Santa Lucia,"14.7067, 121.0530","28,215","7,444","17,216",917,29.1,67.31,3.59
Santa Monica,"14.7252, 121.0434","51,834","13,118","31,672","1,763",28.18,68.03,3.79
Santa Teresita,"14.6220, 120.9997","11,776","1,709","6,183",485,20.4,73.81,5.79
Santo Cristo,"14.6620, 121.0292","25,783","2,481","7,437",474,23.87,71.56,4.56
Santo Domingo,"14.6285, 121.0066","11,476","3,760","9,613",616,26.88,68.72,4.4
Santo Nino,"14.6115, 121.0118","7,070","2,362","7,307",609,22.98,71.09,5.93
Santol,"14.6114, 121.0148","6,410","1,777","5,410",361,23.54,71.67,4.78
Sauyo,"14.6893, 121.0335","76,289","22,556","51,260","2,223",29.66,67.41,2.92
Sienna,"14.6374, 121.0049","2,072",671,"2,493",219,19.83,73.69,6.47
Sikatuna Village,"14.6373, 121.0581","6,121","1,196","5,359",441,17.1,76.6,6.3
Silangan,"14.6288, 121.0561","4,831","1,027","3,715",294,20.39,73.77,5.84
Socorro,"14.6179, 121.0557","22,227","4,971","18,851","1,251",19.83,75.18,4.99
South Triangle,"14.6379, 121.0361","14,494","3,372","11,457",717,21.69,73.7,4.61
Tagumpay,"14.6216, 121.0640","2,257",651,"1,455",102,29.48,65.9,4.62
Talayan,"14.6340, 121.0113","4,402","1,496","3,903",270,26.39,68.85,4.76
Talipapa,"14.6872, 121.0248","38,949","9,115","24,584","1,378",25.99,70.09,3.93
Tandang Sora,"14.6814, 121.0321","83,114","22,796","63,086","4,408",25.25,69.87,4.88
Tatalon,"14.6213, 121.0130","55,404","18,359","42,854","1,916",29.08,67.88,3.04
Teachers Village East,"14.6442, 121.0598","2,401",607,"2,568",226,17.85,75.51,6.65
Teachers Village West,"14.6424, 121.0560","2,986",782,"3,064",424,18.31,71.76,9.93
U.P. Campus,"14.6478, 121.0654","47,127","13,002","30,986","1,532",28.56,68.07,3.37
U.P. Village,"14.6482, 121.0571","3,167",938,"3,710",509,18.19,71.94,9.87
Ugong Norte,"14.5975, 121.0700","6,301","1,143","7,616","1,194",11.48,76.52,12
Unang Sigaw,"14.6584, 121.0006","6,508","2,316","4,763",188,31.87,65.54,2.59
Valencia,"14.6083, 121.0382","10,900","1,836","6,352",359,21.48,74.32,4.2
Vasra,"14.6613, 121.0444","7,345","2,418","6,184",265,27.27,69.74,2.99
Veterans Village,"14.6533, 121.0246","12,755","2,267","8,606",647,19.68,74.7,5.62
Villa Maria Clara,"14.6165, 121.0686","2,442",513,"1,635",245,21.44,68.32,10.24
West Kamias,"14.6309, 121.0501","4,055","1,092","3,550",276,22.2,72.18,5.61
West Triangle,"14.6433, 121.0303","2,431",813,"3,117",269,19.36,74.23,6.41
White Plains,"14.6040, 121.0713","3,558",647,"3,646",441,13.67,77.02,9.32
