,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
Bangkal,"14.5465, 121.0122","17,576","4,863","15,804",983,22.46,73,4.54
Bel-Air,"14.5606, 121.0216","36,007","1,900","18,692","3,093",8.02,78.92,13.06
Carmona,"14.5776, 121.0184","2,745",781,"2,166",162,25.12,69.67,5.21
Cembo,"14.5632, 121.0518","25,049","6,527","18,640","1,046",24.9,71.11,3.99
Comembo,"14.5489, 121.0653","15,805","4,398","11,718",702,26.15,69.68,4.17
Dasmarinas,"14.5414, 121.0261","4,160",538,"4,397",654,9.63,78.67,11.7
East Rembo,"14.5515, 121.0624","26,448","7,409","19,427","1,278",26.35,69.1,4.55
Forbes Park,"14.5512, 121.0352","3,715",120,"1,830",385,5.14,78.37,16.49
Guadalupe Nuevo,"14.5611, 121.0448","20,533","3,934","13,546",861,21.45,73.86,4.69
Guadalupe Viejo,"14.5645, 121.0399","12,900","3,170","9,522",723,23.63,70.98,5.39
Kasilawan,"14.5757, 121.0156","4,827","1,436","4,078",367,24.42,69.34,6.24
La Paz,"14.5682, 121.0076","6,346","2,012","4,999",345,27.35,67.96,4.69
Magallanes,"14.5359, 121.0179","5,267",732,"4,362",578,12.91,76.9,10.19
Olympia,"14.5719, 121.0211","18,654","4,725","14,303","1,223",23.33,70.63,6.04
Palanan,"14.5603, 121.0049","11,623","2,938","10,327",845,20.82,73.19,5.99
Pembo,"14.5467, 121.0616","44,506","12,467","34,074","1,734",25.82,70.58,3.59
Pinagkaisahan,"14.5582, 121.0408","4,710","1,277","4,156",306,22.25,72.42,5.33
Pio del Pilar,"14.5525, 121.0117","50,722","6,236","22,675","1,821",20.29,73.78,5.93
Pitogo,"14.5566, 121.0462","14,654","3,670","10,172",553,25.49,70.66,3.84
Poblacion,"14.5674, 121.0319","16,706","4,720","19,413","1,260",18.59,76.45,4.96
Post Proper Northside,"14.5548, 121.0510","57,940","5,457","22,229",886,19.1,77.8,3.1
Post Proper Southside,"14.5405, 121.0502","63,308","14,318","37,238",872,27.31,71.03,1.66
Rizal,"14.5385, 121.0609","44,536","12,093","28,861","1,681",28.36,67.69,3.94
San Antonio,"14.5623, 121.0084","17,494","2,999","13,160",681,17.81,78.15,4.04
San Isidro,"14.5539, 121.0053","6,098","1,846","5,803",396,22.95,72.13,4.92
San Lorenzo,"14.5516, 121.0218","14,054","1,616","10,257","1,122",12.44,78.93,8.63
Santa Cruz,"14.5678, 121.0154","6,333","1,603","5,062",542,22.24,70.24,7.52
Singkamas,"14.5725, 121.0110","7,218","2,120","4,910",340,28.77,66.62,4.61
South Cembo,"14.5592, 121.0496","14,978","3,891","10,477",735,25.76,69.37,4.87
Tejeros,"14.5745, 121.0138","15,122","3,350","9,571",775,24.46,69.88,5.66
Urdaneta,"14.5554, 121.0296","4,563",873,"3,262",294,19.71,73.65,6.64
Valenzuela,"14.5719, 121.0243","5,370","1,409","4,564",337,22.33,72.33,5.34
West Rembo,"14.5597, 121.0629","29,649","7,454","21,307","1,138",24.93,71.26,3.81
