,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
Aguho,"14.5421, 121.0643","7,322","1,626","4,523",384,24.89,69.23,5.88
Magtanggol,"14.5483, 121.0696","1,388",300,"1,199",153,18.16,72.58,9.26
Martires del 96,"14.5397, 121.0663","5,027","1,231","3,432",251,25.05,69.84,5.11
Poblacion,"14.5450, 121.0667","2,000",548,"1,592",183,23.59,68.53,7.88
San Pedro,"14.5470, 121.0665","2,218",441,"1,622",109,20.3,74.68,5.02
San Roque,"14.5401, 121.0691","4,749","1,132","3,119",242,25.19,69.42,5.39
Santa Ana,"14.5466, 121.0717","29,680","8,224","18,765","1,228",29.15,66.5,4.35
Santo Rosario-Kanluran,"14.5516, 121.0683","5,345","1,342","3,701",282,25.2,69.5,5.3
Santo Rosario-Silangan,"14.5501, 121.0723","4,693","1,401","3,586",238,26.81,68.63,4.56
Tabacalera,"14.5493, 121.0677","2,805",718,"2,053",215,24.05,68.75,7.2
